Name,Count
american,442
people,362
america,328
new,302
must,288
world,199
help,197
make,195
us,186
united,184
work,183
great,173
security,166
iraq,165
war,163
nation,160
iraqi,153
thank,146
good,146
government,146
job,141
children,140
congress,138
health,137
tax,136
states,135
freedom,131
terrorists,127
country,120
free,119
human,110
like,109
time,99
better,97
middle,96
women,96
men,95
world.,92
federal,89
hope,87
citizens,86
military,85
believe,82
peace,80
weapons,79
power,78
president,77
never,77
support,77
forces,77
life,76
terrorist,73
right,70
economic,70
workers,68
build,67
hard,67
regime,67
fight,65
troops,64
god,58
immigration,46
