Name,Count
american,775
people,735
must,535
new,448
us,432
make,311
work,311
job,274
america,264
health,247
children,360
help,215
thank,198
care,191
world,187
give,176
congress,176
government,156
good,156
war,150
country,148
tax,146
peace,144
believe,136
like,134
right,133
president,128
support,126
united,114
great,112
together,106
welfare,106
dont,106
never,104
build,103
security,101
better,96
community,94
family,93
economic,93
education,89
change,85
business,82
hope,80
college,80
school,79
god,68
freedom,63
immigration,26
