Name,Count
american,819
people,675
jobs,526
america,356
like,343
work,340
right,318
health,283
dont,276
need,271
think,268
war,265
world,255
united,251
country,251
help,226
states,225
believe,217
care,204
economy,201
good,190
government,185
made,179
still,177
cant,176
thank,168
tax,220
children,196
nation,163
security,160
congress,156
businesses,152
insurance,148
never,143
change,140
women,126
energy,126
god,126
great,117
together,117
reform,103
promise,87
progress,87
republicans,84
hope,84
immigration,43
guns,38
